plausibility,group,word_num,word,distractor,on_right,correct,rt,sentence,trial_num,subject,MeanCor,N1,N2,PlausibilityValue,oddsratio,Whose,Predictability,logoddsratio,whichfirst,lowerbounddeltap,deltap,logdeltaP
Plausible,30,6,belt,sees,0,1,6.3561076606958915,Mary was reassured about the safety belt because it was a big improvement.,53,1,0.9233449477351916,safety,belt,0.2176507460441801,0.002332,Staubs,Low,-1.506166382258579,0,NA,NA,NA
Implausible,9,3,baking,bailey,0,1,6.933423025730715,My mom received baking dishes from the new grocery store.,58,1,0.9233449477351916,baking,dishes,-1.80227725395582,0.1538439,Ours,High,2.6830458012264087,1,NA,NA,NA
Implausible,9,4,dishes,quoted,0,1,6.573680166960646,My mom received baking dishes from the new grocery store.,58,1,0.9233449477351916,baking,dishes,-1.80227725395582,0.1538439,Ours,High,2.6830458012264087,0,NA,NA,NA
Implausible,5,7,insider,mammals,0,1,6.950814768442584,I read that John was arrested for insider trading that cost one company millions of dollars.,59,1,0.9233449477351916,insider,trading,-1.15010325395582,0.2203773,Ours,High,3.0424484266722773,1,NA,NA,NA
Implausible,5,8,trading,cute,0,1,6.298949246855942,I read that John was arrested for insider trading that cost one company millions of dollars.,59,1,0.9233449477351916,insider,trading,-1.15010325395582,0.2203773,Ours,High,3.0424484266722773,0,NA,NA,NA
Plausible,34,7,weight,except,0,1,6.48768401848461,"It required a great effort, but the weight lifter finally won the competition.",63,1,0.9233449477351916,weight,lifter,-0.4544512539558201,7.38e-4,Staubs,Low,-2.6567041051284885,1,NA,NA,NA
Plausible,34,8,lifter,solute,1,1,7.143617602704121,"It required a great effort, but the weight lifter finally won the competition.",63,1,0.9233449477351916,weight,lifter,-0.4544512539558201,7.38e-4,Staubs,Low,-2.6567041051284885,0,NA,NA,NA
Plausible,32,5,service,anymore,0,1,6.641182169740591,Gordon was annoyed by the service charges at the local mortgage company.,65,1,0.9233449477351916,service,charges,1.7629407460441797,0.001149,Staubs,Low,-2.2140006518802053,1,NA,NA,NA
Plausible,32,6,charges,glad,0,1,6.464588303689961,Gordon was annoyed by the service charges at the local mortgage company.,65,1,0.9233449477351916,service,charges,1.7629407460441797,0.001149,Staubs,Low,-2.2140006518802053,0,NA,NA,NA
Plausible,26,3,garbage,nowhere,1,1,6.523562306149512,Cindy smelled the garbage truck as it drove by her house.,68,1,0.9233449477351916,garbage,truck,1.80641874604418,0.015322,Staubs,Low,0.37639705334780515,1,NA,NA,NA
Plausible,26,4,truck,roman,1,1,6.447305862541213,Cindy smelled the garbage truck as it drove by her house.,68,1,0.9233449477351916,garbage,truck,1.80641874604418,0.015322,Staubs,Low,0.37639705334780515,0,NA,NA,NA
Implausible,17,6,web,etc,1,1,6.70196036600254,I heard that Billy read a web site about dogs.,74,1,0.9233449477351916,web,site,-2.01966825395582,0.1143555,Ours,High,2.3864193665102027,1,NA,NA,NA
Implausible,17,7,site,anti,0,1,6.53813982376767,I heard that Billy read a web site about dogs.,74,1,0.9233449477351916,web,site,-2.01966825395582,0.1143555,Ours,High,2.3864193665102027,0,NA,NA,NA
Implausible,3,10,dining,treaty,0,1,7.118826249062078,When I was a kid I hated the color of dining rooms because they were always so boring.,77,1,0.9233449477351916,dining,rooms,-2.3240162539558202,0.3117497,Ours,High,3.3893079715033156,1,NA,NA,NA
Implausible,3,11,rooms,aware,0,1,6.478509642208569,When I was a kid I hated the color of dining rooms because they were always so boring.,77,1,0.9233449477351916,dining,rooms,-2.3240162539558202,0.3117497,Ours,High,3.3893079715033156,0,NA,NA,NA
Implausible,1,9,steering,appealed,0,1,6.954638864880987,The hardest part about painting my car is the steering wheel is oddly shaped.,81,1,0.9233449477351916,steering,wheel,-2.10662525395582,0.5464651,Ours,High,3.950577793897361,1,NA,NA,NA
Implausible,1,10,wheel,cares,0,1,6.212606095751519,The hardest part about painting my car is the steering wheel is oddly shaped.,81,1,0.9233449477351916,steering,wheel,-2.10662525395582,0.5464651,Ours,High,3.950577793897361,0,NA,NA,NA
Implausible,31,3,season,anyone,1,0,7.327123292259293,Arnie bought the season tickets though they cost more than last year.,83,1,0.9233449477351916,season,tickets,-1.16401625395582,0.002293,Staubs,Low,-1.5230316468710567,1,NA,NA,NA
Implausible,31,4,tickets,applies,1,1,6.739336627357174,Arnie bought the season tickets though they cost more than last year.,83,1,0.9233449477351916,season,tickets,-1.16401625395582,0.002293,Staubs,Low,-1.5230316468710567,0,NA,NA,NA
Plausible,2,12,locker,sang,0,1,6.473890696352274,Kimmy panicked when she realized that she left the books in the locker room after gym class.,88,1,0.9233449477351916,locker,room,1.80641874604418,0.5015731,Ours,High,3.8648567087446786,1,NA,NA,NA
Plausible,2,13,room,smoked,0,1,6.84587987526405,Kimmy panicked when she realized that she left the books in the locker room after gym class.,88,1,0.9233449477351916,locker,room,1.80641874604418,0.5015731,Ours,High,3.8648567087446786,0,NA,NA,NA
Implausible,25,5,station,suppose,0,1,6.626717749249025,Barbara went over in her station wagon and put some money in the parking meter.,93,1,0.9233449477351916,station,wagon,-0.8892332539558203,0.015707,Staubs,Low,0.4012138221140704,1,NA,NA,NA
Implausible,25,6,wagon,creep,0,1,6.278521424165844,Barbara went over in her station wagon and put some money in the parking meter.,93,1,0.9233449477351916,station,wagon,-0.8892332539558203,0.015707,Staubs,Low,0.4012138221140704,0,NA,NA,NA
Plausible,10,9,ice,fort,1,1,6.717804695023691,One of my favorite feelings is when I eat ice cream because it's so sweet.,99,1,0.9233449477351916,ice,cream,0.2846797460441799,0.1511365,Ours,High,2.6652907512400463,1,NA,NA,NA
Plausible,10,10,cream,naval,0,1,6.660575149839686,One of my favorite feelings is when I eat ice cream because it's so sweet.,99,1,0.9233449477351916,ice,cream,0.2846797460441799,0.1511365,Ours,High,2.6652907512400463,0,NA,NA,NA
Implausible,37,4,elevator,academia,1,0,6.823286122355687,The maid scolded the elevator mechanic who was goofing off.,108,1,0.9233449477351916,elevator,mechanic,-2.1990162539558202,1.99e-4,Staubs,Low,-3.9673431050044687,1,NA,NA,NA
Implausible,37,5,mechanic,diaspora,1,1,7.090076835776092,The maid scolded the elevator mechanic who was goofing off.,108,1,0.9233449477351916,elevator,mechanic,-2.1990162539558202,1.99e-4,Staubs,Low,-3.9673431050044687,0,NA,NA,NA
Plausible,4,4,peanut,housed,1,1,6.419994928147142,Jimmy picked up the peanut butter after he finished working.,109,1,0.9233449477351916,peanut,butter,1.41511374604418,0.2757128,Ours,High,3.2664670934812383,1,NA,NA,NA
Plausible,4,5,butter,tragic,1,1,7.317212408359839,Jimmy picked up the peanut butter after he finished working.,109,1,0.9233449477351916,peanut,butter,1.41511374604418,0.2757128,Ours,High,3.2664670934812383,0,NA,NA,NA
Plausible,22,7,concert,exist,1,1,6.71901315438526,Jane looked forward to going to the concert hall after it had been remodeled.,110,1,0.9233449477351916,concert,hall,1.5455487460441795,0.05123,Staubs,Low,1.5834326472042863,1,NA,NA,NA
Plausible,22,8,hall,worry,1,1,7.203405521083095,Jane looked forward to going to the concert hall after it had been remodeled.,110,1,0.9233449477351916,concert,hall,1.5455487460441795,0.05123,Staubs,Low,1.5834326472042863,0,NA,NA,NA
Implausible,27,5,traffic,yeah,1,1,6.666956792429207,Nora was slowed at the traffic light near the new mall.,116,1,0.9233449477351916,traffic,light,-0.9906832539558201,0.013149,Staubs,Low,0.2234530593579569,1,NA,NA,NA
Implausible,27,6,light,happens,1,1,6.61472560020376,Nora was slowed at the traffic light near the new mall.,116,1,0.9233449477351916,traffic,light,-0.9906832539558201,0.013149,Staubs,Low,0.2234530593579569,0,NA,NA,NA
Plausible,6,4,dairy,fined,0,0,6.7226297948554485,The manager found the dairy products in the tracking system.,118,1,0.9233449477351916,dairy,products,0.9368537460441795,0.1916258,Ours,High,2.9026518612570524,1,NA,NA,NA
Plausible,6,5,products,feedback,1,0,6.884486652042782,The manager found the dairy products in the tracking system.,118,1,0.9233449477351916,dairy,products,0.9368537460441795,0.1916258,Ours,High,2.9026518612570524,0,NA,NA,NA
Implausible,13,7,graduate,honestly,0,1,6.520621127558696,Sally said she is attending that new graduate school everyone was talking about.,120,1,0.9233449477351916,graduate,school,-1.4906832539558201,0.1368266,Ours,High,2.5658217799841996,1,NA,NA,NA
Implausible,13,8,school,forget,0,1,6.244166900663736,Sally said she is attending that new graduate school everyone was talking about.,120,1,0.9233449477351916,graduate,school,-1.4906832539558201,0.1368266,Ours,High,2.5658217799841996,0,NA,NA,NA
Plausible,28,4,package,bye,1,1,6.721425700790643,Jane carefully examined the package deal to make sure it was a bargain.,122,1,0.9233449477351916,package,deal,2.21765074604418,0.006036,Staubs,Low,-0.5551511098412218,1,NA,NA,NA
Plausible,28,5,deal,prefer,0,1,6.63200177739563,Jane carefully examined the package deal to make sure it was a bargain.,122,1,0.9233449477351916,package,deal,2.21765074604418,0.006036,Staubs,Low,-0.5551511098412218,0,NA,NA,NA
Implausible,7,4,alcoholics,centimeter,0,0,6.805722553416985,The social worker founded alcoholics anonymous to help people.,124,1,0.9233449477351916,alcoholics,anonymous,-1.8892332539558203,0.1876327,Ours,High,2.881593677671841,1,NA,NA,NA
Implausible,7,5,anonymous,telescope,1,1,6.683360945766275,The social worker founded alcoholics anonymous to help people.,124,1,0.9233449477351916,alcoholics,anonymous,-1.8892332539558203,0.1876327,Ours,High,2.881593677671841,0,NA,NA,NA
Plausible,20,8,prescription,encouraged,1,1,6.664409020350408,The doctor told me to pick up my prescription drugs in order to prevent any further damage to my skin.,135,1,0.9233449477351916,prescription,drugs,1.9803317460441798,0.1027533,Ours,High,2.2794383189021077,1,NA,NA,NA
Plausible,20,9,drugs,pre,0,1,6.45833828334479,The doctor told me to pick up my prescription drugs in order to prevent any further damage to my skin.,135,1,0.9233449477351916,prescription,drugs,1.9803317460441798,0.1027533,Ours,High,2.2794383189021077,0,NA,NA,NA
Implausible,40,4,elephant,minimize,1,1,7.557472901614746,The children attended the elephant shows that took place on Tuesday.,6,2,0.9753521126760564,elephant,shows,-1.4979292539558204,1.99e-5,Staubs,Low,-6.2699281979985155,1,NA,NA,NA
Implausible,40,5,shows,doubt,0,1,6.826545223556594,The children attended the elephant shows that took place on Tuesday.,6,2,0.9753521126760564,elephant,shows,-1.4979292539558204,1.99e-5,Staubs,Low,-6.2699281979985155,0,NA,NA,NA
Plausible,25,5,station,suppose,0,1,7.347299700743164,Barbara went over to her station wagon and put some money in the parking meter.,7,2,0.9753521126760564,station,wagon,1.4259837460441798,0.015707,Staubs,Low,0.4012138221140704,1,NA,NA,NA
Plausible,25,6,wagon,creep,1,1,7.0326242610280065,Barbara went over to her station wagon and put some money in the parking meter.,7,2,0.9753521126760564,station,wagon,1.4259837460441798,0.015707,Staubs,Low,0.4012138221140704,0,NA,NA,NA
Implausible,24,3,funeral,cent,0,1,7.385230923066573,Sam phoned the funeral home so that they would send a limousine.,12,2,0.9753521126760564,funeral,home,-1.1990162539558202,0.02871,Staubs,Low,1.004352843386148,1,NA,NA,NA
Implausible,24,4,home,yeah,1,1,6.8001700683022,Sam phoned the funeral home so that they would send a limousine.,12,2,0.9753521126760564,funeral,home,-1.1990162539558202,0.02871,Staubs,Low,1.004352843386148,0,NA,NA,NA
Implausible,20,10,prescription,recipients,1,1,7.444248649496705,The doctor told me to stop my recreational use of prescription drugs in order to prevent any further damage to my skin.,13,2,0.9753521126760564,prescription,drugs,0.009316746044179425,0.1027533,Ours,High,2.2794383189021077,1,NA,NA,NA
Implausible,20,11,drugs,feels,1,1,6.480044561926653,The doctor told me to stop my recreational use of prescription drugs in order to prevent any further damage to my skin.,13,2,0.9753521126760564,prescription,drugs,0.009316746044179425,0.1027533,Ours,High,2.2794383189021077,0,NA,NA,NA
Implausible,6,4,dairy,fined,1,1,7.613324979540639,The manager logged the dairy products in the tracking system.,15,2,0.9753521126760564,dairy,products,-0.8656832539558201,0.1916258,Ours,High,2.9026518612570524,1,NA,NA,NA
Implausible,6,5,products,feedback,1,1,6.7661917146603505,The manager logged the dairy products in the tracking system.,15,2,0.9753521126760564,dairy,products,-0.8656832539558201,0.1916258,Ours,High,2.9026518612570524,0,NA,NA,NA
Plausible,1,9,steering,appealed,0,1,6.584791392385716,The hardest part about driving my car is the steering wheel is oddly shaped.,17,2,0.9753521126760564,steering,wheel,1.4259837460441798,0.5464651,Ours,High,3.950577793897361,1,NA,NA,NA
Plausible,1,10,wheel,cares,0,1,6.371611847231857,The hardest part about driving my car is the steering wheel is oddly shaped.,17,2,0.9753521126760564,steering,wheel,1.4259837460441798,0.5464651,Ours,High,3.950577793897361,0,NA,NA,NA
Implausible,42,5,surface,anybody,1,1,7.1204443723924875,The astronaut dropped into the surface crater that had been rumored to exist.,32,2,0.9753521126760564,surface,crater,-0.8457552539558204,2.86e-6,Staubs,Low,-8.2098263048972,1,NA,NA,NA
Implausible,42,6,crater,redeem,1,1,7.4489161025442,The astronaut dropped into the surface crater that had been rumored to exist.,32,2,0.9753521126760564,surface,crater,-0.8457552539558204,2.86e-6,Staubs,Low,-8.2098263048972,0,NA,NA,NA
Implausible,26,3,garbage,nowhere,1,1,7.02108396428914,Cindy heard the garbage truck as it drove by her house.,36,2,0.9753521126760564,garbage,truck,-0.32401625395582023,0.015322,Staubs,Low,0.37639705334780515,1,NA,NA,NA
Implausible,26,4,truck,roman,1,1,6.517671272912275,Cindy heard the garbage truck as it drove by her house.,36,2,0.9753521126760564,garbage,truck,-0.32401625395582023,0.015322,Staubs,Low,0.37639705334780515,0,NA,NA,NA
Plausible,31,3,season,anyone,1,1,7.010311867307229,Arnie enjoyed the season tickets though they cost more than last year.,37,2,0.9753521126760564,season,tickets,0.6759837460441798,0.002293,Staubs,Low,-1.5230316468710567,1,NA,NA,NA
Plausible,31,4,tickets,applies,0,1,7.27655640271871,Arnie enjoyed the season tickets though they cost more than last year.,37,2,0.9753521126760564,season,tickets,0.6759837460441798,0.002293,Staubs,Low,-1.5230316468710567,0,NA,NA,NA
Plausible,17,7,web,anti,1,1,6.736966958001855,I heard that Billy stumbled upon a web site about dogs.,38,2,0.9753521126760564,web,site,0.4759837460441796,0.1143555,Ours,High,2.3864193665102027,1,NA,NA,NA
Plausible,17,8,site,worst,0,1,6.612041034833092,I heard that Billy stumbled upon a web site about dogs.,38,2,0.9753521126760564,web,site,0.4759837460441796,0.1143555,Ours,High,2.3864193665102027,0,NA,NA,NA
Implausible,2,13,locker,smoked,0,1,7.294377299288821,Kimmy panicked when she realized that she left the faucet running in the locker room after gym class.,41,2,0.9753521126760564,locker,room,-1.4906832539558201,0.5015731,Ours,High,3.8648567087446786,1,NA,NA,NA
Implausible,2,14,room,stars,0,1,6.570882962339584,Kimmy panicked when she realized that she left the faucet running in the locker room after gym class.,41,2,0.9753521126760564,locker,room,-1.4906832539558201,0.5015731,Ours,High,3.8648567087446786,0,NA,NA,NA
Implausible,22,6,concert,scored,0,1,6.668228248417403,Jane looked forward to visiting the concert hall after it had been remodeled.,47,2,0.9753521126760564,concert,hall,-0.32401625395582023,0.05123,Staubs,Low,1.5834326472042863,1,NA,NA,NA
Implausible,22,7,hall,exist,1,1,7.544861068658458,Jane looked forward to visiting the concert hall after it had been remodeled.,47,2,0.9753521126760564,concert,hall,-0.32401625395582023,0.05123,Staubs,Low,1.5834326472042863,0,NA,NA,NA
Plausible,9,3,baking,bailey,1,1,7.0192966537150445,My mom loves baking dishes from the new grocery store.,48,2,0.9753521126760564,baking,dishes,2.3843167460441794,0.1538439,Ours,High,2.6830458012264087,1,NA,NA,NA
Plausible,9,4,dishes,quoted,0,1,7.510977752014095,My mom loves baking dishes from the new grocery store.,48,2,0.9753521126760564,baking,dishes,2.3843167460441794,0.1538439,Ours,High,2.6830458012264087,0,NA,NA,NA
Plausible,27,6,traffic,happens,0,1,6.717804695023691,Nora was held up by the traffic light near the new mall.,50,2,0.9753521126760564,traffic,light,1.9368537460441795,0.013149,Staubs,Low,0.2234530593579569,1,NA,NA,NA
Plausible,27,7,light,yours,1,1,6.593044534142437,Nora was held up by the traffic light near the new mall.,50,2,0.9753521126760564,traffic,light,1.9368537460441795,0.013149,Staubs,Low,0.2234530593579569,0,NA,NA,NA
Implausible,12,12,lung,troy,0,1,6.740519359606223,"Due to her difficulty of breathing, Jamie was really worried about having lung cancer because it is hard to treat.",54,2,0.9753521126760564,lung,cancer,-1.0040162539558204,0.1379383,Ours,High,2.57391383298145,1,NA,NA,NA
Implausible,12,13,cancer,wonder,0,1,6.499787040655854,"Due to her difficulty of breathing, Jamie was really worried about having lung cancer because it is hard to treat.",54,2,0.9753521126760564,lung,cancer,-1.0040162539558204,0.1379383,Ours,High,2.57391383298145,0,NA,NA,NA
Implausible,28,5,package,prefer,0,1,7.329749689041512,Jane listened carefully to the package deal to make sure it was a bargain.,55,2,0.9753521126760564,package,deal,-0.9327122539558204,0.006036,Staubs,Low,-0.5551511098412218,1,NA,NA,NA
Implausible,28,6,deal,fat,0,1,6.9411900550683745,Jane listened carefully to the package deal to make sure it was a bargain.,55,2,0.9753521126760564,package,deal,-0.9327122539558204,0.006036,Staubs,Low,-0.5551511098412218,0,NA,NA,NA
Plausible,3,7,dining,lakes,0,1,6.4967749901858625,When I was a kid I hated dining rooms because they were always so boring.,56,2,0.9753521126760564,dining,rooms,-0.11568325395582058,0.3117497,Ours,High,3.3893079715033156,1,NA,NA,NA
Plausible,3,8,rooms,occur,0,1,7.132497551660044,When I was a kid I hated dining rooms because they were always so boring.,56,2,0.9753521126760564,dining,rooms,-0.11568325395582058,0.3117497,Ours,High,3.3893079715033156,0,NA,NA,NA
Plausible,41,4,party,manage,0,1,6.520621127558696,Kim heard about the party outfit that her mother had chosen.,57,2,0.9753521126760564,party,outfit,1.8498967460441795,1.54e-5,Staubs,Low,-6.526280420309378,1,NA,NA,NA
Plausible,41,5,outfit,miller,0,1,7.213031659834869,Kim heard about the party outfit that her mother had chosen.,57,2,0.9753521126760564,party,outfit,1.8498967460441795,1.54e-5,Staubs,Low,-6.526280420309378,0,NA,NA,NA
Implausible,38,4,kitchen,happens,0,1,6.933423025730715,The contractor ordered the kitchen fixtures after the renovation.,60,2,0.9753521126760564,kitchen,fixtures,-1.0196682539558202,1.37e-4,Staubs,Low,-4.340667003900837,1,NA,NA,NA
Implausible,38,5,fixtures,cinnamon,0,1,6.779921907472252,The contractor ordered the kitchen fixtures after the renovation.,60,2,0.9753521126760564,kitchen,fixtures,-1.0196682539558202,1.37e-4,Staubs,Low,-4.340667003900837,0,NA,NA,NA
Plausible,13,6,graduate,suppose,1,1,7.527793987721444,Sally said she found that new graduate school everyone was talking about.,63,2,0.9753521126760564,graduate,school,-0.06314625395582052,0.1368266,Ours,High,2.5658217799841996,1,NA,NA,NA
Plausible,13,7,school,honestly,0,1,6.501289670540389,Sally said she found that new graduate school everyone was talking about.,63,2,0.9753521126760564,graduate,school,-0.06314625395582052,0.1368266,Ours,High,2.5658217799841996,0,NA,NA,NA
Plausible,37,4,elevator,academia,0,1,6.684611727667927,The maid caught the elevator mechanic who was goofing off.,67,2,0.9753521126760564,elevator,mechanic,0.02380974604418018,1.99e-4,Staubs,Low,-3.9673431050044687,1,NA,NA,NA
Plausible,37,5,mechanic,diaspora,1,1,7.197435354096591,The maid caught the elevator mechanic who was goofing off.,67,2,0.9753521126760564,elevator,mechanic,0.02380974604418018,1.99e-4,Staubs,Low,-3.9673431050044687,0,NA,NA,NA
Plausible,29,5,cafeteria,derives,1,1,6.548219102762372,The new principal visited the cafeteria manager at the end of the school day.,72,2,0.9753521126760564,cafeteria,manager,2.1959837460441793,0.002809,Staubs,Low,-1.320064102624718,1,NA,NA,NA
Plausible,29,6,manager,coincide,0,1,7.203405521083095,The new principal visited the cafeteria manager at the end of the school day.,72,2,0.9753521126760564,cafeteria,manager,2.1959837460441793,0.002809,Staubs,Low,-1.320064102624718,0,NA,NA,NA
