posterior_mu,generation,estimated_p_theta,FrequencyPer350Mil,WordA,WordB,RelFreq,GenPref
0.32584315651959056,500,0.32584315651959056,3,boardinghouses,hotels,0.180752840909091,0.233382200812141
0.2528597035043884,500,0.2528597035043884,3,boardinghouses,hotels,0.180752840909091,0.233382200812141
0.18080109543818354,500,0.18080109543818354,3,boardinghouses,hotels,0.180752840909091,0.233382200812141
0.2513835451290537,500,0.2513835451290537,3,boardinghouses,hotels,0.180752840909091,0.233382200812141
0.2521044750461337,500,0.2521044750461337,3,boardinghouses,hotels,0.180752840909091,0.233382200812141
0.554649582105138,500,0.554649582105138,27,boats,ships,0.379260681709073,0.456529705512413
0.3622333997167548,500,0.3622333997167548,27,boats,ships,0.379260681709073,0.456529705512413
0.5554461295250948,500,0.5554461295250948,27,boats,ships,0.379260681709073,0.456529705512413
0.419984495599272,500,0.419984495599272,27,boats,ships,0.379260681709073,0.456529705512413
0.41885269834129435,500,0.41885269834129435,27,boats,ships,0.379260681709073,0.456529705512413
0.31192356112928055,500,0.31192356112928055,27,boats,ships,0.379260681709073,0.456529705512413
0.4176208827562961,500,0.4176208827562961,27,boats,ships,0.379260681709073,0.456529705512413
0.4741729269099144,500,0.4741729269099144,27,boats,ships,0.379260681709073,0.456529705512413
0.4474649962462074,500,0.4474649962462074,27,boats,ships,0.379260681709073,0.456529705512413
0.500715750027868,500,0.500715750027868,27,boats,ships,0.379260681709073,0.456529705512413
0.40040151435163024,500,0.40040151435163024,28,bodies,faces,0.239499283613604,0.434838592922759
0.4560264400093254,500,0.4560264400093254,28,bodies,faces,0.239499283613604,0.434838592922759
0.5100783140039583,500,0.5100783140039583,28,bodies,faces,0.239499283613604,0.434838592922759
0.377310074307442,500,0.377310074307442,28,bodies,faces,0.239499283613604,0.434838592922759
0.2950846748567442,500,0.2950846748567442,28,bodies,faces,0.239499283613604,0.434838592922759
0.42660553180908106,500,0.42660553180908106,28,bodies,faces,0.239499283613604,0.434838592922759
0.5591944444248096,500,0.5591944444248096,28,bodies,faces,0.239499283613604,0.434838592922759
0.4000280284000922,500,0.4000280284000922,28,bodies,faces,0.239499283613604,0.434838592922759
0.3218440194860902,500,0.3218440194860902,28,bodies,faces,0.239499283613604,0.434838592922759
0.4281438957236279,500,0.4281438957236279,28,bodies,faces,0.239499283613604,0.434838592922759
0.5511260765826606,500,0.5511260765826606,5,body,breath,0.488230678697528,0.526351423391455
0.5502418706694409,500,0.5502418706694409,5,body,breath,0.488230678697528,0.526351423391455
