Estimate,Est.Error,Q2.5,Q97.5,checkpoint,Parameter,% Samples > 0
1.1692273663716712,1.3077278874734284,-0.6759006959294804,4.560014541873929,step3500-tokens14B,Intercept,85.05
-1.9776233811766435,2.5503857062864514,-9.089656758762715,1.1346730499892992,step3500-tokens14B,GenPref,16.8875
1.6514692841622332,1.4333712625073622,-0.802247031583758,4.763871378077484,step3500-tokens14B,log_bigram_odds_ratio,78.5875
1.7287189595200598,2.5563175866336416,-1.3797905249582245,8.97098901316498,step3500-tokens14B,GenPref:log_bigram_odds_ratio,89.64999999999999
0.10857175012694611,0.8535187962287221,-1.498143972675925,1.9757999607727255,step4000-tokens16B,Intercept,53.525
-0.4574945749360764,1.3852291700935102,-3.8032632572702263,1.94682246100127,step4000-tokens16B,GenPref,37.512499999999996
-0.11403107687759491,0.9850046778297598,-2.160643422620975,1.8296501544707935,step4000-tokens16B,log_bigram_odds_ratio,51.025
0.026431693943018923,1.3122062347643588,-2.6499501679982838,2.669767833670412,step4000-tokens16B,GenPref:log_bigram_odds_ratio,46.0125
-1.8818580762843,1.2198154058474437,-4.933639771398903,-0.09904291432171972,step40000-tokens167B,Intercept,1.775
2.277024384797871,2.398499590989452,-0.8969798889804851,8.310923094108292,step40000-tokens167B,GenPref,87.2875
-0.10752569048645283,0.8758131923729718,-1.8697538592478633,1.629233644526768,step40000-tokens167B,log_bigram_odds_ratio,42.112500000000004
-0.2834882641571308,1.2748454839808354,-3.0986612007733974,1.9940051524415885,step40000-tokens167B,GenPref:log_bigram_odds_ratio,44.987500000000004
-3.072466754597607,1.4043644755591929,-5.758582997976434,-0.3901800799294719,step400000-tokens1677B,Intercept,0.7374999999999999
5.877952235340444,2.8533018195117417,0.4940712497807771,11.285955885784645,step400000-tokens1677B,GenPref,98.7625
-0.0019029572334095706,0.7579400661979508,-1.5082572129467904,1.48971736071266,step400000-tokens1677B,log_bigram_odds_ratio,45.1375
-0.14095883348325805,1.1751649010951057,-2.6280422532873144,2.206815828430188,step400000-tokens1677B,GenPref:log_bigram_odds_ratio,50.287499999999994
0.4739433308503831,0.881823172469533,-1.087031882440381,2.4264386538737197,step4500-tokens18B,Intercept,70.525
-0.61465372401732,1.4629056720573523,-4.177287502294574,1.798908289141189,step4500-tokens18B,GenPref,33.9375
0.5979052782456369,1.0565694755440633,-1.3110513499527925,2.912933146346218,step4500-tokens18B,log_bigram_odds_ratio,66.05
0.6257358773391432,1.4800975980270679,-1.7539696466845762,4.25686592284696,step4500-tokens18B,GenPref:log_bigram_odds_ratio,71.78750000000001
-0.36443571079555864,0.7365348613093247,-1.9475492832148495,0.9400039526730393,step500-tokens2B,Intercept,31.087500000000002
0.5254038609616275,1.2762166181287555,-1.6993510355998915,3.4991524405445165,step500-tokens2B,GenPref,66.2625
0.060827775947720035,0.8701654543465076,-1.680469327765249,1.843439013979888,step500-tokens2B,log_bigram_odds_ratio,56.49999999999999
0.22604267143823004,1.2531882157618728,-2.198392173481642,3.018013936604645,step500-tokens2B,GenPref:log_bigram_odds_ratio,52.275000000000006
-0.62463794439527065,0.7803285663401264,-2.2988001058863112,0.818088536476691,step5000-tokens20B,Intercept,19.6125
0.4288739464002819,1.3220458888351054,-1.9490515330007947,3.5014548317664707,step5000-tokens20B,GenPref,62.4375
-0.21835590979022862,0.9036361016551184,-2.0583793036625133,1.5260687179577341,step5000-tokens20B,log_bigram_odds_ratio,52.175000000000004
0.07172545685020833,1.3079978767039933,-2.516033596001317,2.861162954866372,step5000-tokens20B,GenPref:log_bigram_odds_ratio,40.775
-0.2014323814175506,0.6915875122361869,-1.7776896026287623,1.018097815440875,step50000-tokens209B,Intercept,40.675
0.8972929923183799,1.2863244074859232,-1.261564989026251,3.9853593443630206,step50000-tokens209B,GenPref,76.44999999999999
-0.7988706945247475,0.8599392810057108,-2.498732364449736,0.893003339653553,step50000-tokens209B,log_bigram_odds_ratio,25.650000000000002
-0.92746112142999,1.5230057765866873,-4.73497284220342,1.4350654719245444,step50000-tokens209B,GenPref:log_bigram_odds_ratio,16.675
-0.9753948391790739,0.6887147614738633,-2.4507129526373306,0.29287113876584514,step5500-tokens23B,Intercept,6.5875
0.5441990715842356,1.2352765282194895,-1.6730137545822206,3.413946017839976,step5500-tokens23B,GenPref,66.675
0.6811708776237121,0.8494214623614154,-0.8743578262561768,2.5112641494729977,step5500-tokens23B,log_bigram_odds_ratio,60.02499999999999
0.312065343584443,1.212354590294789,-1.9655374029677997,2.8623872605703933,step5500-tokens23B,GenPref:log_bigram_odds_ratio,79.3
-0.16233545787799616,0.715413476896868,-1.5837881393642244,1.255921548844841,step6000-tokens25B,Intercept,40.637499999999996
0.10096703028142616,1.2132795802421046,-2.3134281811478585,2.5803200316157815,step6000-tokens25B,GenPref,53.1375
