...1,binom,Word1,Word2,Alpha Probs,Nonalpha Probs,checkpoint,ProbAandB,log_odds,Alpha,Nonalpha,OverallFreq,Word1_freq,Word2_freq,Weird?,Form,Percept,Culture,Power,Intense,Icon,Freq,Len,Lapse,no_final_stress,GenPref,y_vals,num_tokens,n_billion_tokens,bigram1_alpha,bigram2_alpha,bigram1_nonalpha,bigram2_nonalpha,count_bigram1_alpha,count_bigram2_alpha,count_bigram1_nonalpha,count_bigram2_nonalpha,corpus_size,count_and,bigram_prob_alpha,bigram_prob_nonalpha,log_bigram_prob_alpha,log_bigram_prob_nonalpha,log_bigram_odds_ratio
10,axolotls and wombats,axolotls,wombats,-78.15625,-78.0234375,step0-tokens0B,0.46684559533319187,-0.1328125,axolotls and wombats,wombats and axolotls,0,118861,228721,no,0,-1,0,-1,0,0,-0.654548177,-2,-1,-1,0.26622836149079915,-1.0138434186847471,0B,0,axolotls and,and wombats,wombats and,and axolotls,6009,13380,28292,2525,1560674367427,43378012800,1.1876168952253402e-15,1.0552201646369658e-15,-34.36682770474424,-34.48502696289505,0.11819925815080978
11,axolotls and lions,axolotls,lions,-66.3046875,-67.25,step0-tokens0B,0.7201715075418014,0.9453125,axolotls and lions,lions and axolotls,0,118861,19766321,no,0,-1,-1,-1,-1,0,-5.113780066,-2,0,0,0.1589667001970527,-1.6659365071109442,0B,0,axolotls and,and lions,lions and,and axolotls,6009,347621,1189276,2525,1560674367427,43378012800,3.085505027915755e-14,4.4356991959521854e-14,-31.10947595360868,-30.746506044476988,-0.36296990913169225
12,ocelots and platypuses,ocelots,platypuses,-80.640625,-80.71875,step0-tokens0B,0.519521321952093,0.078125,ocelots and platypuses,platypuses and ocelots,0,84729,43558,no,0,1,-1,1,0,0,0.6653645446,1,3,1,0.5250262425985742,0.10018869231192418,0B,0,ocelots and,and platypuses,platypuses and,and ocelots,10953,3238,5183,6980,1560674367427,43378012800,5.23875371662479e-16,5.34385519482504e-16,-35.18527785819906,-35.165414148814264,-0.019863709384793538
13,ibex and platypuses,ibex,platypuses,-66.1171875,-66.859375,step0-tokens0B,0.6774740169356274,0.7421875,ibex and platypuses,platypuses and ibex,0,405760,43558,no,0,1,0,1,0,0,2.231668468,2,3,1,0.6910321114827613,0.8049489428779834,0B,0,ibex and,and platypuses,platypuses and,and ibex,28514,3238,5183,14353,1560674367427,43378012800,1.3638073904486373e-15,1.0988589342596533e-15,-34.2284960548089,-34.4445040859993,0.21600803119039824
14,harpies and platypuses,harpies,platypuses,-77.7734375,-78.3984375,step0-tokens0B,0.6513548646660542,0.625,harpies and platypuses,platypuses and harpies,0,186488,43558,no,0,0,0,1,1,0,1.454273511,2,2,0,0.5846420329909703,0.3418590309856108,0B,0,harpies and,and platypuses,platypuses and,and harpies,19889,3238,5183,7479,1560674367427,43378012800,9.512788520948639e-16,5.725887249584023e-16,-34.58872443445956,-35.09636397237901,0.5076395379194523
15,keas and platypuses,keas,platypuses,-66.2265625,-69.2578125,step0-tokens0B,0.9539660976007596,3.03125,keas and platypuses,platypuses and keas,0,41506,43558,no,0,0,-1,0,0,0,-0.04825538823,3,3,1,0.4589454843044635,-0.16458860972505485,0B,0,keas and,and platypuses,platypuses and,and keas,1780,3238,5183,1081,1560674367427,43378012800,8.513632443706862e-17,8.27608519427775e-17,-37.00227788523667,-37.03057652693147,0.028298641694796345
16,bonobos and platypuses,bonobos,platypuses,-80.828125,-78.125,step0-tokens0B,0.06278920859705135,-2.703125,bonobos and platypuses,platypuses and bonobos,0,290761,43558,no,0,1,0,1,0,0,1.898408241,1,2,0,0.6124570309917737,0.4576520560662202,0B,0,bonobos and,and platypuses,platypuses and,and bonobos,35799,3238,5183,36136,1560674367427,43378012800,1.7122445384958538e-15,2.76655517650713e-15,-34.000971289485044,-33.52117346723624,-0.4797978222488055
17,harpies and wolverines,harpies,wolverines,-76.9765625,-78.96875,step0-tokens0B,0.8799743722456386,1.9921875,harpies and wolverines,wolverines and harpies,0,186488,1749798,no,0,-1,0,0,0,0,-2.238888738,1,-1,1,0.5714926980135802,0.2879439275730262,0B,0,harpies and,and wolverines,wolverines and,and harpies,19889,29104,59355,7479,1560674367427,43378012800,8.55034580338756e-15,6.5572069785656904e-15,-32.39280466793924,-32.658211648081085,0.26540698014184727
18,keas and wolverines,keas,wolverines,-68.8671875,-68.3828125,step0-tokens0B,0.38121956625615,-0.484375,keas and wolverines,wolverines and keas,0,41506,1749798,no,0,-1,-1,-1,0,0,-3.741417637,2,0,0,0.28491468083539706,-0.9202120931179661,0B,0,keas and,and wolverines,wolverines and,and keas,1780,29104,59355,1081,1560674367427,43378012800,7.652277907401004e-16,9.477658435391779e-16,-34.806358118716354,-34.592424202633545,-0.21393391608280865
19,bonobos and wolverines,bonobos,wolverines,-80.140625,-78.140625,step0-tokens0B,0.11920292202211757,-2,bonobos and wolverines,wolverines and bonobos,0,290761,1749798,no,0,0,0,0,0,0,-1.794754008,0,-1,-1,0.4260534593626886,-0.29797142734636417,0B,0,bonobos and,and wolverines,wolverines and,and bonobos,35799,29104,59355,36136,1560674367427,43378012800,1.539010656219374e-14,3.168220769854924e-14,-31.805051522964717,-31.08302114293831,-0.722030380026407
20,capybaras and ibex,capybaras,ibex,-78.65625,-80.7109375,step0-tokens0B,0.8864204083088262,2.0546875,capybaras and ibex,ibex and capybaras,0,77225,405760,no,0,0,0,0,0,0,-1.659038613,-2,-1,-1,0.35636088244063857,-0.5911942604630338,0B,0,capybaras and,and ibex,ibex and,and capybaras,7419,14353,28514,4526,1560674367427,43378012800,1.572918084752531e-15,1.9062977915906523e-15,-34.08584384799948,-33.893613362852996,-0.19223048514648156
21,capybaras and harpies,capybaras,harpies,-90.515625,-89.0234375,step0-tokens0B,0.18359362263419612,-1.4921875,capybaras and harpies,harpies and capybaras,0,77225,186488,no,0,1,0,-1,-1,0,-0.881643655,-2,0,0,0.4042523912313735,-0.3877776884851256,0B,0,capybaras and,and harpies,harpies and,and capybaras,7419,7479,19889,4526,1560674367427,43378012800,8.196094444272404e-16,1.329675134212895e-15,-34.737703734379195,-34.25384174250366,-0.4838619918755356
22,capybaras and keas,capybaras,keas,-79.4453125,-81.140625,step0-tokens0B,0.8449215283934064,1.6953125,capybaras and keas,keas and capybaras,0,77225,41506,no,0,1,1,1,0,0,0.6208852437,-3,-1,-1,0.5934734630919691,0.3783432921802061,0B,0,capybaras and,and keas,keas and,and capybaras,7419,1081,1780,4526,1560674367427,43378012800,1.1846474253588002e-16,1.1900154552259807e-16,-36.671916288931655,-36.667395193280775,-0.0045210956508796585
23,ibex and narwhals,ibex,narwhals,-67.7421875,-65.5546875,step0-tokens0B,0.10087862273005653,-2.1875,ibex and narwhals,narwhals and ibex,0,405760,86641,no,0,1,0,-1,0,0,1.543988707,0,0,0,0.5357407880252771,0.14320739692737267,0B,0,ibex and,and narwhals,narwhals and,and ibex,28514,7131,9914,14353,1560674367427,43378012800,3.0034930516643707e-15,2.1018883801370254e-15,-33.43900043301818,-33.79594022560849,0.3569397925903104
24,harpies and narwhals,harpies,narwhals,-77.75,-77.90625,step0-tokens0B,0.5389832206876841,0.15625,harpies and narwhals,narwhals and harpies,0,186488,86641,no,0,-1,0,0,1,0,0.7665937492,0,-1,-1,0.4233333096548839,-0.3091046050334284,0B,0,harpies and,and narwhals,narwhals and,and harpies,19889,7131,9914,7479,1560674367427,43378012800,2.0949874905152794e-15,1.09524302898661e-15,-33.79922881266884,-34.4478001119882,0.6485712993193644
25,keas and narwhals,keas,narwhals,-68.2890625,-66.7578125,step0-tokens0B,0.17781086947804958,-1.53125,keas and narwhals,narwhals and keas,0,41506,86641,no,0,0,-1,-1,0,0,-0.7359351495,1,0,0,0.36200860449946104,-0.5666568156987601,0B,0,keas and,and narwhals,narwhals and,and keas,1780,7131,9914,1081,1560674367427,43378012800,1.874944810255517e-16,1.5830428056351458e-16,-36.21278226344595,-36.38201266654066,0.1692304030947085
26,ibex and ocelots,ibex,ocelots,-68.2890625,-65.2890625,step0-tokens0B,0.04742587317756678,-3,ibex and ocelots,ocelots and ibex,0,405760,84729,no,0,0,0,0,0,0,1.566303924,1,0,0,0.5764726271403577,0.3083097106173805,0B,0,ibex and,and ocelots,ocelots and,and ibex,28514,6980,10953,14353,1560674367427,43378012800,2.9398936335180627e-15,2.322168996130809e-15,-33.46040299329006,-33.69627473386526,0.23587174057519888
27,keas and ocelots,keas,ocelots,-68.5234375,-67.953125,step0-tokens0B,0.3611647202343208,-0.5703125,keas and ocelots,ocelots and keas,0,41506,84729,no,0,-1,-1,-1,0,0,-0.7136199328,2,0,0,0.3404638478266884,-0.661227842034413,0B,0,keas and,and ocelots,ocelots and,and keas,1780,6980,10953,1081,1560674367427,43378012800,1.835242571249966e-16,1.7489477355378002e-16,-36.23418482371784,-36.28234717479743,0.04816235107958988
28,bonobos and ocelots,bonobos,ocelots,-80.9921875,-82.078125,step0-tokens0B,0.7476159547235899,1.0859375,bonobos and ocelots,ocelots and bonobos,0,290761,84729,no,0,0,1,0,0,0,1.233043696,0,-1,-1,0.5937242316635813,0.3793827937200819,0B,0,bonobos and,and ocelots,ocelots and,and bonobos,35799,6980,10953,36136,1560674367427,43378012800,3.6910027420324454e-15,5.846436204569284e-15,-33.232878227966204,-32.7729441151022,-0.4599341128640049
29,harpies and ibex,harpies,ibex,-61.1171875,-64.4921875,step0-tokens0B,0.9669140216112958,3.375,harpies and ibex,ibex and harpies,0,186488,405760,no,0,-1,0,0,1,0,-0.777394958,0,-1,-1,0.39146210219709704,-0.4411704819779082,0B,0,harpies and,and ibex,ibex and,and harpies,19889,14353,28514,7479,1560674367427,43378012800,4.21670950096281e-15,3.1500665451406296e-15,-33.09972131012576,-33.39135281685481,0.291631506729054
30,ibex and keas,ibex,keas,-55.4375,-54.0390625,step0-tokens0B,0.19806417366892504,-1.3984375,ibex and keas,keas and ibex,0,405760,41506,no,0,1,1,1,0,0,2.279923857,-1,0,0,0.729375607633055,0.9914569826689006,0B,0,ibex and,and keas,keas and,and ibex,28514,1081,1780,14353,1560674367427,43378012800,4.553044438156197e-16,3.7738161354084185e-16,-35.32556537140727,-35.513274760902874,0.1877093894956019
31,bonobos and ibex,bonobos,ibex,-65.7890625,-64.609375,step0-tokens0B,0.23510838921999314,-1.1796875,bonobos and ibex,ibex and bonobos,0,290761,405760,no,0,0,0,0,0,0,-0.3332602279,-1,-1,-1,0.41936578233907684,-0.32537745688874503,0B,0,bonobos and,and ibex,ibex and,and bonobos,35799,14353,28514,36136,1560674367427,43378012800,7.589822687162134e-15,1.522005678235082e-14,-32.51196816515124,-31.81616231171204,-0.6958058534391967
32,ibex and koalas,ibex,koalas,-65.171875,-64.15625,step0-tokens0B,0.2658804730998169,-1.015625,ibex and koalas,koalas and ibex,0,405760,625349,no,0,0,-1,0,0,0,-0.4325480421,1,1,1,0.4713669959544411,-0.11465746170600533,0B,0,ibex and,and koalas,koalas and,and ibex,28514,29851,74175,14353,1560674367427,43378012800,1.257288894758563e-14,1.572600066538873e-14,-32.00723356994935,-31.783460959029984,-0.22377261091936518
33,ibex and sloths,ibex,sloths,-50.828125,-51.1328125,step0-tokens0B,0.5755880133300378,0.3046875,ibex and sloths,sloths and ibex,0,405760,420234,no,0,0,-1,1,0,0,-0.03504984718,-1,0,0,0.42746759137981555,-0.29219086690446183,0B,0,ibex and,and sloths,sloths and,and ibex,28514,20620,55800,14353,1560674367427,43378012800,8.684900676667975e-15,1.1830277548078075e-14,-32.377190431475526,-32.0681142558196,-0.3090761756559246
34,aardvarks and ibex,aardvarks,ibex,-77.078125,-78.09375,step0-tokens0B,0.7341195269001831,1.015625,aardvarks and ibex,ibex and aardvarks,0,58045,405760,no,0,0,1,0,0,0,-1.94454328,0,0,0,0.5680652808348717,0.2739618793826944,0B,0,aardvarks and,and ibex,ibex and,and aardvarks,5986,14353,28514,2930,1560674367427,43378012800,1.2691046846379097e-15,1.2340814249581553e-15,-34.300464715776364,-34.328449487035364,0.027984771258999785
35,harpies and keas,harpies,keas,-65.40625,-65.78125,step0-tokens0B,0.5926665999540698,0.375,harpies and keas,keas and harpies,0,186488,41506,no,0,-1,1,1,1,0,1.502528899,-1,-1,-1,0.5694166848584832,0.2794716406909925,0B,0,harpies and,and keas,keas and,and harpies,19889,1081,1780,7479,1560674367427,43378012800,3.1758259392049035e-16,1.9664440100828791e-16,-35.68579375105793,-36.165134647282585,0.4793408962246559
36,bonobos and harpies,bonobos,harpies,-79.1015625,-78.296875,step0-tokens0B,0.3090237111195067,-0.8046875,bonobos and harpies,harpies and bonobos,0,290761,186488,no,0,1,0,-1,-1,0,0.44413473,-1,0,0,0.4695475164299526,-0.12196088491939039,0B,0,bonobos and,and harpies,harpies and,and bonobos,35799,7479,19889,36136,1560674367427,43378012800,3.954872422300955e-15,1.0616248486504016e-14,-33.163828051530956,-32.1763906913627,-0.9874373601682578
37,harpies and koalas,harpies,koalas,-76.6640625,-74.6484375,step0-tokens0B,0.11757213354550883,-2.015625,harpies and koalas,koalas and harpies,0,186488,625349,no,0,-1,-1,0,1,0,-1.209943,1,0,0,0.3594510874965562,-0.57774737367536,0B,0,harpies and,and koalas,koalas and,and harpies,19889,29851,74175,7479,1560674367427,43378012800,8.769803895578685e-15,8.19443732853357e-15,-32.36746194960001,-32.4353208454097,0.0678588958096853
38,harpies and wombats,harpies,wombats,-64.9765625,-67.8515625,step0-tokens0B,0.9465966702001757,2.875,harpies and wombats,wombats and harpies,0,186488,228721,no,0,-1,0,1,1,0,-0.2041360263,0,-1,-1,0.46693255202911266,-0.13246314116030422,0B,0,harpies and,and wombats,wombats and,and harpies,19889,13380,28292,7479,1560674367427,43378012800,3.930855787841037e-15,3.1255412322058883e-15,-33.16991923501492,-33.39916893241284,0.22924969739791834
39,aardvarks and harpies,aardvarks,harpies,-89.421875,-85.640625,step0-tokens0B,0.022286185539225498,-3.78125,aardvarks and harpies,harpies and aardvarks,0,58045,186488,no,0,1,0,0,-1,0,-1.167148322,0,1,1,0.5790029683650513,0.3186818213606025,0B,0,aardvarks and,and harpies,harpies and,and aardvarks,5986,7479,19889,2930,1560674367427,43378012800,6.612996541773098e-16,8.607927846318564e-16,-34.952324602156075,-34.68867786668603,-0.26364673547004713
40,bonobos and keas,bonobos,keas,-69.125,-68.828125,step0-tokens0B,0.42632159254749036,-0.296875,bonobos and keas,keas and bonobos,0,290761,41506,no,0,1,1,1,0,0,1.946663629,-2,-1,-1,0.6556932495586142,0.6441600957716019,0B,0,bonobos and,and keas,keas and,and bonobos,35799,1081,1780,36136,1560674367427,43378012800,5.716295077560277e-16,9.501192772878048e-16,-35.098040606083416,-34.589944142139814,-0.5080964639436019
41,keas and koalas,keas,koalas,-67.5546875,-67,step0-tokens0B,0.3647775585204021,-0.5546875,keas and koalas,koalas and keas,0,41506,625349,no,0,-1,-1,-1,0,0,-2.712471899,2,1,1,0.3394323126090292,-0.6658250443663524,0B,0,keas and,and koalas,koalas and,and keas,1780,29851,74175,1081,1560674367427,43378012800,7.848685672547669e-16,1.1844079090981131e-15,-34.78101540037713,-34.36953339996216,-0.41148200041497063
42,keas and sloths,keas,sloths,-54.421875,-53.59375,step0-tokens0B,0.30404167496654744,-0.828125,keas and sloths,sloths and keas,0,41506,420234,no,0,-1,-1,0,0,0,-2.314973704,0,0,0,0.30082792751274773,-0.843358449557966,0B,0,keas and,and sloths,sloths and,and keas,1780,20620,55800,1081,1560674367427,43378012800,5.421590518506346e-16,8.910004897563157e-16,-35.150972261903306,-34.65418669675178,-0.4967855651515265
43,keas and wombats,keas,wombats,-57.0546875,-57.6875,step0-tokens0B,0.6531269142203083,0.6328125,keas and wombats,wombats and keas,0,41506,228721,no,0,-1,-1,-1,0,0,-1.706664925,1,0,0,0.2893415476569124,-0.8985841218256359,0B,0,keas and,and wombats,wombats and,and keas,1780,13380,28292,1081,1560674367427,43378012800,3.5179864761209947e-16,4.517596031574495e-16,-35.58347268579204,-35.3333814869653,-0.2500911988267376
44,keas and lions,keas,lions,-45.546875,-45.328125,step0-tokens0B,0.44552953503957266,-0.21875,keas and lions,lions and keas,0,41506,19766321,no,0,-1,-1,-1,-1,0,-6.165896814,0,1,1,0.2167473539716161,-1.284722900251833,0B,0,keas and,and lions,lions and,and keas,1780,347621,1189276,1081,1560674367427,43378012800,9.139954983674563e-15,1.899006269633391e-14,-32.32612093465647,-31.594860568547237,-0.7312603661092361
45,aardvarks and keas,aardvarks,keas,-78.84375,-80.4453125,step0-tokens0B,0.8322366527818007,1.6015625,aardvarks and keas,keas and aardvarks,0,58045,41506,no,0,1,1,1,0,0,0.3353805767,-1,0,0,0.6953240963767371,0.8251294620259344,0B,0,aardvarks and,and keas,keas and,and aardvarks,5986,1081,1780,2930,1560674367427,43378012800,9.558295576489795e-17,7.703811939487679e-17,-36.886537156708535,-37.10223131746314,0.2156941607546088
46,bonobos and wombats,bonobos,wombats,-69.21875,-68.046875,step0-tokens0B,0.23651623644570757,-1.171875,bonobos and wombats,wombats and bonobos,0,290761,228721,no,0,0,0,1,0,0,0.2399987037,-1,-1,-1,0.49583256748790977,-0.016670116079694597,0B,0,bonobos and,and wombats,wombats and,and bonobos,35799,13380,28292,36136,1560674367427,43378012800,7.075303250486264e-15,1.5101558760127288e-14,-32.5821660900404,-31.823978427270067,-0.7581876627703359
47,aardvarks and bonobos,aardvarks,bonobos,-93.3125,-89.0078125,step0-tokens0B,0.013325147705881429,-4.3046875,aardvarks and bonobos,bonobos and aardvarks,0,58045,290761,no,0,0,0,0,0,0,-1.611283052,1,1,1,0.550548918849493,0.20288879627999296,0B,0,aardvarks and,and bonobos,bonobos and,and aardvarks,5986,36136,35799,2930,1560674367427,43378012800,3.195176401036404e-15,1.5493750765265137e-15,-33.377134097013304,-34.10092472171151,0.7237906246982035
48,ocarinas and vibraphones,ocarinas,vibraphones,-93.5859375,-90.828125,step0-tokens0B,0.0596469429451214,-2.7578125,ocarinas and vibraphones,vibraphones and ocarinas,0,25781,16255,no,0,0,1,0,0,0,0.4612372328,-1,-1,-1,0.5401509282596678,0.16095026655090905,0B,0,ocarinas and,and vibraphones,vibraphones and,and ocarinas,2477,1923,3737,1034,1560674367427,43378012800,7.035959658092461e-17,5.707707204677088e-17,-37.19291248768225,-37.40212917820653,0.20921669052427916
49,cymbals and ocarinas,cymbals,ocarinas,-85.34375,-85.0859375,step0-tokens0B,0.4359015199773826,-0.2578125,cymbals and ocarinas,ocarinas and cymbals,0,840625,25781,no,0,0,1,1,0,0,3.484507876,2,0,0,0.7863131089907258,1.3028432531177554,0B,0,cymbals and,and ocarinas,ocarinas and,and cymbals,139792,1034,2477,78823,1560674367427,43378012800,2.135113207268449e-15,2.884011690742704e-15,-33.78025672515414,-33.47959412184061,-0.30066260331352623
50,clarinets and ocarinas,clarinets,ocarinas,-79.3984375,-80.921875,step0-tokens0B,0.8210441123099045,1.5234375,clarinets and ocarinas,ocarinas and clarinets,0,243271,25781,no,0,0,1,1,0,0,2.244538262,0,1,1,0.7423705361505314,1.0583261274000662,0B,0,clarinets and,and ocarinas,ocarinas and,and clarinets,38585,1034,2477,15318,1560674367427,43378012800,5.89328023795733e-16,5.604619346992215e-16,-35.06754872880031,-35.117770346801485,0.050221618001174306
51,cellos and ocarinas,cellos,ocarinas,-68.578125,-70.78125,step0-tokens0B,0.9005297861178929,2.203125,cellos and ocarinas,ocarinas and cellos,0,268657,25781,no,0,0,1,0,0,0,2.343797687,2,0,0,0.7202291749686441,0.9455986739323422,0B,0,cellos and,and ocarinas,ocarinas and,and cellos,59080,1034,2477,32182,1560674367427,43378012800,9.02358420263105e-16,1.1774896189117605e-15,-34.6415198710467,-34.37539166425193,-0.2661282067947681
52,didgeridoos and vibraphones,didgeridoos,vibraphones,-101.125,-99.3984375,step0-tokens0B,0.15102780199255098,-1.7265625,didgeridoos and vibraphones,vibraphones and didgeridoos,0,27696,16255,no,0,0,0,0,0,0,0.5328874447,-1,0,0,0.47878389059777837,-0.08491542531611426,0B,0,didgeridoos and,and vibraphones,vibraphones and,and didgeridoos,4469,1923,3737,2253,1560674367427,43378012800,1.2694268757373925e-16,1.2436619276728704e-16,-36.602795968238155,-36.623301292842655,0.02050532460449972
53,lutes and marimbas,lutes,marimbas,-69.09375,-69.6875,step0-tokens0B,0.6442251064863697,0.59375,lutes and marimbas,marimbas and lutes,0,159875,46966,no,0,0,0,0,0,0,1.224968324,2,1,1,0.6451767867370823,0.5979046925768685,0B,0,lutes and,and marimbas,marimbas and,and lutes,17913,3367,9192,7183,1560674367427,43378012800,8.90901093831668e-16,9.752903609215732e-16,-34.65429825838421,-34.563796441156995,-0.09050181722721362
54,kalimbas and lutes,kalimbas,lutes,-77.1796875,-78.1328125,step0-tokens0B,0.7217432062975978,0.953125,kalimbas and lutes,lutes and kalimbas,0,14400,159875,no,0,0,0,0,0,0,-2.407164053,-2,-1,-1,0.3418219367188277,-0.6551855589986626,0B,0,kalimbas and,and lutes,lutes and,and kalimbas,1480,7183,17913,494,1560674367427,43378012800,1.5703108509181117e-16,1.3071135739615204e-16,-36.39008789392742,-36.57354016035736,0.1834522664299385
55,clarinets and kalimbas,clarinets,kalimbas,-88.0546875,-89.3046875,step0-tokens0B,0.7772998611746912,1.25,clarinets and kalimbas,kalimbas and clarinets,0,243271,14400,no,0,0,1,1,0,0,2.826947842,0,1,1,0.7517827161314903,1.1081428336783479,0B,0,clarinets and,and kalimbas,kalimbas and,and clarinets,38585,494,1480,15318,1560674367427,43378012800,2.8155516804167515e-16,3.348743089845974e-16,-35.80620326668076,-35.63277640953269,-0.1734268571480726
56,kalimbas and trumpets,kalimbas,trumpets,-76.5859375,-77.4921875,step0-tokens0B,0.7122321842389469,0.90625,kalimbas and trumpets,trumpets and kalimbas,0,14400,1217280,no,0,0,-1,-1,0,0,-4.437145934,-1,0,0,0.23360373298298662,-1.1880731247805756,0B,0,kalimbas and,and trumpets,trumpets and,and kalimbas,1480,65767,192845,494,1560674367427,43378012800,1.4377646350039181e-15,1.4071920793312644e-15,-34.17568682424875,-34.19718010915838,0.021493284909631427
