sentences_for_cloze,cloze_probs
He balled,0.6427627801895142
The river overflowed onto the streets as debris dammed,0.7146259546279907
"If he wants to survive in such a competitive environment, he needs to toughen up.",-3.4327101707458496
She tossed the wadded,2.7637970447540283
"During the brainstorming session, she piped",2.312628746032715
The sponge soaks,2.2096762657165527
The computer started to act,2.1299004554748535
She is offering,-2.9686388969421387
They fired,-3.5020394325256348
He is keyed,2.7839183807373047
He climbed,-2.6099815368652344
"Having spoken up, she was satisfied that she expressed her concerns.",-3.4674203395843506
"After he washed up, I got ready for bed.",-2.993723154067993
She was scraping,-2.5516490936279297
"They complete the last tasks of the project, finishing up.",-3.0738508701324463
"Just in time for the outdoor event, the weather clears up.",-3.185244560241699
"We're moving to a new house, so we're packing",1.0865129232406616
He reached,-3.121697187423706
Running into his old girlfriend was responsible for churning,-0.8576033115386963
The crowd was intent on rising,0.521029531955719
She measured,-2.1296753883361816
I missed the important appointment because I mixed,2.4695422649383545
They enjoyed the ocean breeze while strolling,-2.834315538406372
He heaved,-3.148735523223877
They lightened,0.6078413128852844
The bird glided,-2.564713716506958
The price of goods keeps bumping up.,-3.2582597732543945
He is laying,-2.827962875366211
The clothes dried,-0.6613292694091797
The balloon blew,0.9298747777938843
They dug,-0.07709014415740967
The bird flew,-1.7076767683029175
She typed,-2.8644027709960938
He angrily ripped,-1.919094204902649
He felt,-4.279647350311279
Investors often bid,0.48165178298950195
She wanted to carry,4.3261308670043945
They're putting,-2.888800621032715
He sized,0.32180023193359375
People crowded,-2.3653101921081543
It's important to zip,1.9962230920791626
She's feeling,-2.6834583282470703
The fish swam,-1.8922693729400635
She wrinkled,1.3829401731491089
He slid,-3.575758934020996
He marked,-2.2637972831726074
The hot shower steamed,-1.5480326414108276
He reaches,-2.2980809211730957
They dredged,-0.1792839765548706
The athlete was leaping,-1.2102539539337158
The sink was blocked,0.8758327960968018
It's important to stock,4.93776798248291
He always catches,-1.416515827178955
They're using,3.914653778076172
The fire seemed to burn,-2.29223370552063
She needs to write,-1.955450177192688
They're catching,0.9624794721603394
